Hewlett-Packard Company,PO Box 6320+City+MO,46
Manor Care Inc,PO Box 73+City+MI,1939
Nacco Industries Inc,PO Box 6316+City+GA,1006
Equity Residential Properties Trust,PO Box 9748+City+FL,276
Linens n Things Inc,PO Box 8847+City+WA,1500
Jacobs Engineering Group Inc,PO Box 3053+City+CT,976
Markel Corporation,PO Box 6662+City+GA,78
Merck & Co Inc,PO Box 9594+City+CO,1261
Eaton Corporation,PO Box 5955+City+VT,1637
Fidelity National Financial Inc,PO Box 4771+City+MI,756
EMC Corporation,PO Box 2674+City+CA,920
Kemet Corp,PO Box 716+City+CT,444
E*Trade Group Inc,PO Box 4872+City+CT,347
General Cable Corporation,PO Box 6575+City+CO,77
Host Marriott Corp,PO Box 9777+City+CO,1971
Millennium Chemicals Inc,PO Box 9367+City+VT,1230
Gemstar-TV Guide International Inc,PO Box 8055+City+GA,935
The LTV Corporation,PO Box 4539+City+MO,1033
National Commerce Financial Corporation,PO Box 8686+City+TX,1951
GenCorp Inc,PO Box 8601+City+MI,1048
Health Net Inc,PO Box 7837+City+CT,1320
Metaldyne Corporation,PO Box 3401+City+CO,424
HJ Heinz Company,PO Box 7455+City+NY,815
Dreyers Grand Ice Cream Inc,PO Box 5389+City+CO,1073
The LTV Corporation,PO Box 4539+City+MO,1932
Gannett Co Inc,PO Box 7293+City+GA,1490
Lennar Corporation,PO Box 6695+City+MO,1953
Federal Express Corp,PO Box 3100+City+MO,1204
Hewlett-Packard Company,PO Box 6320+City+MO,551
Dominion Resources Inc,PO Box 1475+City+NY,1353
Morgan Stanley Dean Witter & Co,PO Box 4004+City+VT,1343
Family Dollar Stores Inc,PO Box 1179+City+MO,1962
Host Marriott Corp,PO Box 9213+City+CT,1463
Health Management Associates Inc,PO Box 6361+City+TX,903
National City Corp,PO Box 9832+City+FL,413
First Tennessee National Corp,PO Box 5192+City+FL,440
Emerson Electric Co,PO Box 9883+City+MI,1314
Manor Care Inc,PO Box 73+City+MI,1993
Home Depot Inc,PO Box 2517+City+MI,1119
Eaton Corporation,PO Box 5955+City+VT,729
National Fuel Gas Company,PO Box 4738+City+FL,580
IMS Health Inc,PO Box 3227+City+FL,976
Golden State Bancorp Inc,PO Box 9968+City+VT,1264
Ivax Corp,PO Box 4940+City+MI,1326
Microsoft Corporation,PO Box 8662+City+FL,29
General Motors Corporation,PO Box 3127+City+TX,629
JC Penny Co,PO Box 8162+City+MO,1992
Metaldyne Corporation,PO Box 9525+City+WA,108
First Tennessee National Corp,PO Box 5192+City+FL,1509
Del Monte Foods Co,PO Box 8097+City+FL,1400
International Multifoods Corporation,PO Box 5492+City+MO,1688
The Goodyear Tire & Rubber Company,PO Box 2157+City+KY,217
Dollar Tree Stores Inc,PO Box 621+City+WA,877
Flowserv Corp,PO Box 5655+City+NY,1528
Jefferson-Pilot Co, PO Box 8030+City+FL,807
First American Financial Corp,PO Box 5826+City+TX,1906
McCormick & Company Incorporated,PO Box 7641+City+VT,1520
Maytag Corporation,PO Box 6180+City+VT,609
EMC Corporation,PO Box 719+City+CT,998
IMC Global Inc,PO Box 8931+City+WA,242
The McGraw-Hill Companies Inc,PO Box 2586+City+CT,1450
General Cable Corporation,PO Box 3855+City+WA,1889
IMC Global Inc,PO Box 8931+City+WA,1339
Fisher Scientific International Inc,PO Box 2586+City+WA,318
Limited Inc,PO Box 7789+City+WA,1997
Knight-Ridder Inc,PO Box 2384+City+TX,820
Hub Group Inc,PO Box 6669+City+CT,1005
Humana Inc,PO Box 6817+City+CT,843
Dillards Inc,PO Box 222+City+KY,367
Eli Lilly and Company,PO Box 377+City+CA,1348
DTE Energy Co,PO Box 8550+City+KY,1757
General Motors Corporation,PO Box 8654+City+MO,740
Jabil Circuit Inc,PO Box 3701+City+GA,1863
Linens n Things Inc,PO Box 2719+City+VT,498
McDonalds Corporation,PO Box 2230+City+KY,242
Marathon Oil Corporation,PO Box 7209+City+GA,188
Marathon Oil Corporation,PO Box 6144+City+CO,1370
Granite Construction Incorporated,PO Box 6418+City+GA,546
Morgan Stanley Dean Witter & Co,PO Box 4004+City+VT,1426
Laboratory Corporation of America Holdings,PO Box 9117+City+CT,309
Massey Energy Company,PO Box 3244+City+VT,787
Kemet Corp,PO Box 716+City+CT,1046
Markel Corporation,PO Box 4480+City+CT,1085
Enterprise Products Partners LP,PO Box 1298+City+NY,1662
General Electric Company,PO Box 9049+City+MI,198
Mandalay Resort Group,PO Box 2657+City+CT,1997
Energizer Holdings Inc,PO Box 2507+City+WA,1243
Halliburton Co,PO Box 1478+City+CO,1109
Harsco Corp,PO Box 5136+City+NY,945
ITT Industries Inc,PO Box 4289+City+GA,347
Felcor Lodging Trust Inc,PO Box 5078+City+CO,760
McKesson Corporation,PO Box 1842+City+TX,1539
IMS Health Inc,PO Box 3638+City+CA,393
Equifax Inc,PO Box 2898+City+NY,1053
Dow Chemical Company,PO Box 9410+City+NY,1391
McDonalds Corporation,PO Box 2230+City+KY,1880
Gentiva Health Services Inc,PO Box 6295+City+CA,1831
Deluxe Corporation,PO Box 7849+City+CT,1649
Millennium Chemicals Inc,PO Box 6865+City+CT,46
MDC Holdings Inc, PO Box 6532+City+MI,1637
Hawaiian Electric Industries Inc,PO Box 8819+City+MO,1093
Leggett & Platt Inc,PO Box 4688+City+MI,805
Hubbell Inc,PO Box 8765+City+MO,1554
H&R Block Inc,PO Box 2483+City+GA,1031
Ingram Micro Inc,PO Box 7415+City+TX,877
Nacco Industries Inc,PO Box 6316+City+GA,1675
Magellan Health Services Inc,PO Box 2091+City+GA,442
The McGraw-Hill Companies Inc,PO Box 2586+City+CT,1948
Footstar Inc,PO Box 1012+City+CA,232
Dun & Bradstreet Inc,PO Box 9509+City+VT,1717
Interpublic Group of Companies Inc,PO Box 1172+City+CA,175
Limited Inc,PO Box 2176+City+CA,606
The Goodyear Tire & Rubber Company,PO Box 2157+City+KY,1377
Eaton Corporation,PO Box 2268+City+CO,1114
First Data Corp,PO Box 5857+City+KY,945
John Hancock Financial Services Inc,PO Box 3907+City+MO,934
Lennar Corporation,PO Box 6924+City+KY,1862
Lennox International Inc,PO Box 8950+City+CA,1753
National Commerce Financial Corporation,PO Box 6675+City+MI,1748
Medtronic Inc,PO Box 5066+City+GA,1385
Dow Jones & Company Inc,PO Box 7844+City+TX,541
Delta Air Lines Inc,PO Box 5851+City+CT,611
Mattel Inc,PO Box 2909+City+MI,428
Fleming Companies Inc,PO Box 318+City+NY,1670
Lear Corporation,PO Box 103+City+GA,1776
El Paso Corporation,PO Box 2668+City+FL,896
Integrated Electrical Services Inc,PO Box 3785+City+TX,743
FPL Group Inc,PO Box 3716+City+CA,1179
Diebold Incorporated,PO Box 4226+City+VT,1652
Louisiana-Pacific Corporation,PO Box 9766+City+VT,899
Gap Inc,PO Box 9644+City+MO,497
Devon Energy Corporation,PO Box 8955+City+CO,1289
Ferro Corp,PO Box 6564+City+WA,1636
DURA Automotive Systems Inc,PO Box 3208+City+MI,1809
The Goodyear Tire & Rubber Company,PO Box 8578+City+WA,136
FPL Group Inc,PO Box 8447+City+FL,1934
Marriott International Inc,PO Box 5101+City+FL,859
ITT Industries Inc,PO Box 7235+City+GA,1675
Harman International Industries Inc,PO Box 4430+City+TX,998
Hasbro Inc,PO Box 6508+City+WA,1087
Harman International Industries Inc,PO Box 2031+City+KY,1210
GreenPoint Financial Corp,PO Box 7211+City+GA,1327
Delphi Corp,PO Box 4329+City+KY,751
HB Fuller Company,PO Box 664+City+NY,730
Guidant Corporation,PO Box 2566+City+TX,1375
Lyondell Chemical Company,PO Box 8843+City+MI,127
Honeywell International Inc, PO Box 7915+City+CA,1779
The Goodyear Tire & Rubber Company,PO Box 8578+City+WA,902
Mirant Corporation,PO Box 8875+City+CT,756
Energy East Corporation,PO Box 2539+City+CO,395
Exelon Corporation,PO Box 8969+City+MI,983
Huntington Bancshares Inc,PO Box 6083+City+CA,1633
DST Systems Inc,PO Box 5359+City+VT,750
Maytag Corporation,PO Box 5982+City+FL,1471
Mercury General Corporation,PO Box 9772+City+FL,503
L-3 Communications Holdings Inc,PO Box 9047+City+MI,1079
Kennametal Inc,PO Box 2050+City+WA,115
Engelhard Corporation,PO Box 2800+City+CT,636
Greif Bros Corporation,PO Box 916+City+VT,417
McKesson Corporation,PO Box 1842+City+TX,1412
Great Plains Energy Inc,PO Box 7389+City+CO,1478
Johnson & Johnson,PO Box 3140+City+MI,1934
Jack In The Box Inc,PO Box 705+City+CT,257
The MONY Group Inc,PO Box 8477+City+MI,1144
Dynegy Inc,PO Box 3772+City+FL,988
Maxtor Corporation,PO Box 3486+City+NY,946
Maxxam Inc,PO Box 6735+City+CO,1945
Host Marriott Corp,PO Box 9777+City+CO,515
Levi Strauss & Co,PO Box 7731+City+CT,1919
Ecolab Inc,PO Box 4558+City+GA,1973
HJ Heinz Company, PO Box 5012+City+CO,1143
Foamex International Inc,PO Box 1001+City+WA,251
The May Department Stores Company,PO Box 1947+City+MO,869
Kelly Services Inc,PO Box 6806+City+MI,1901
Earthlink Inc,PO Box 2974+City+GA,1857
International Flavors & Fragrances Inc,PO Box 8774+City+MI,589
Ford Motor Co,PO Box 1243+City+GA,1026
First National of Nebraska Inc,PO Box 8330+City+VT,1958
IDT Corporation,PO Box 3028+City+KY,1849
Golden State Bancorp Inc,PO Box 9968+City+VT,1289
Fisher Scientific International Inc,PO Box 2586+City+WA,705
Liz Claiborne Inc,PO Box 4027+City+NY,1576
MPS Group Inc,PO Box 7907+City+GA,287
MPS Group Inc,PO Box 7907+City+GA,17
Kennametal Inc,PO Box 9713+City+KY,773
IKON Office Solutions Inc,PO Box 316+City+VT,811
Freeport McMoran Copper & Gold Inc,PO Box 7106+City+MO,1088
Jones Apparel Group Inc,PO Box 2109+City+MI,114
Granite Construction Incorporated,PO Box 7575+City+FL,849
Dover Corporation Inc,PO Box 5452+City+WA,1725
Farmland Industries Inc,PO Box 3539+City+CA,244
Kelly Services Inc,PO Box 9166+City+KY,1039
The McGraw-Hill Companies Inc,PO Box 2586+City+CT,661
IKON Office Solutions Inc,PO Box 316+City+VT,612
Maxxam Inc,PO Box 1004+City+CO,211
HCA Inc,PO Box 8669+City+CA,807
El Paso Corporation,PO Box 9566+City+WA,19
Knight-Ridder Inc,PO Box 6281+City+TX,1634
IDT Corporation,PO Box 5108+City+TX,1253
MGIC Investment Corporation,PO Box 4941+City+MO,931
Kroger Co,PO Box 742+City+MO,1495
Harsco Corp,PO Box 5136+City+NY,1558
KeyCorp,PO Box 9182+City+CO,356
Emcor Group Inc,PO Box 7176+City+TX,1905
Kelly Services Inc,PO Box 9166+City+KY,1272
International Multifoods Corporation,PO Box 9739+City+FL,1537
Equity Residential Properties Trust,PO Box 9748+City+FL,1710
Markel Corporation,PO Box 159+City+NY,1170
Humana Inc,PO Box 6817+City+CT,1065
Fortune Brands Inc,PO Box 3765+City+CA,758
Georgia-Pacific Corporation,PO Box 8681+City+NY,693
Georgia-Pacific Corporation,PO Box 8285+City+MI,1695
Dynegy Inc,PO Box 2323+City+CT,1734
HJ Heinz Company, PO Box 5012+City+CO,320
Diebold Incorporated,PO Box 4226+City+VT,1418
Levi Strauss & Co,PO Box 989+City+MO,1156
Federal Mogul Corp,PO Box 9141+City+MO,328
ITT Industries Inc,PO Box 7235+City+GA,1677
Fisher Scientific International Inc, PO Box 2404+City+CT,554
Great Plains Energy Inc,PO Box 7389+City+CO,1375
Dole Food Company Inc,PO Box 3975+City+KY,883
The Lubrizol Corporation,PO Box 3710+City+KY,833
Household International Corp,PO Box 8505+City+CT,906
Landstar System Inc,PO Box 627+City+MI,857
Gillette Company,PO Box 3394+City+KY,1320
FirstEnergy Corp,PO Box 8178+City+GA,1529
Marsh & McLennan Companies Inc,PO Box 9149+City+GA,1530
Eastman Chemical Company,PO Box 9383+City+CO,451
Del Monte Foods Co,PO Box 1473+City+FL,1898
Fisher Scientific International Inc, PO Box 2404+City+CT,910
Genuity Inc,PO Box 3318+City+CO,127
Maytag Corporation,PO Box 6180+City+VT,34
Intel Corporation,PO Box 9206+City+WA,125
Hormel Foods Corp,PO Box 8923+City+VT,1236
Eastman Chemical Company,PO Box 9383+City+CO,414
Louisiana-Pacific Corporation,PO Box 9766+City+VT,1078
Michaels Stores Inc,PO Box 4363+City+NY,266
Exelon Corporation,PO Box 8750+City+WA,397
Hughes Supply Inc,PO Box 5326+City+WA,341
Electronic Data Systems Corp,PO Box 4337+City+VT,591
Franklin Resources Inc,PO Box 4584+City+KY,952
Hormel Foods Corp,PO Box 5590+City+NY,1978
Equifax Inc,PO Box 8358+City+CO,666
LandAmerica Financial Group Inc,PO Box 3669+City+KY,1457
Electronic Data Systems Corp,PO Box 4337+City+VT,1085
Maytag Corporation,PO Box 3911+City+KY,504
MGIC Investment Corporation,PO Box 5409+City+MI,647
The McGraw-Hill Companies Inc,PO Box 7799+City+WA,1147
Lear Corporation,PO Box 103+City+GA,776
Edison International,PO Box 1042+City+NY,964
Kimberly-Clark Corporation,PO Box 371+City+MO,1848
Molex Incorporated,PO Box 509+City+NY,201
GreenPoint Financial Corp,PO Box 7211+City+GA,1202
KLA-Tencor Corporation,PO Box 3236+City+TX,168
Leggett & Platt Inc,PO Box 221+City+TX,1922
HJ Heinz Company,PO Box 7455+City+NY,1238
Fifth Third Bancorp,PO Box 3344+City+WA,454
KeySpan Corp,PO Box 2156+City+NY,296
Hilton Hotels Corp,PO Box 5980+City+KY,354
Mercury General Corporation,PO Box 9772+City+FL,1675
National Fuel Gas Company,PO Box 4738+City+FL,362
Louisiana-Pacific Corporation,PO Box 4059+City+NY,1795
Echostar Communications Corporation,PO Box 1321+City+WA,21
Edison International,PO Box 9468+City+CT,1213
GreenPoint Financial Corp,PO Box 9976+City+CT,114
Micron Technology Inc,PO Box 1631+City+WA,1504
Farmland Industries Inc,PO Box 3674+City+KY,1159
Henry Schein Inc,PO Box 7572+City+VT,406
National Fuel Gas Company,PO Box 3685+City+WA,1927
Foster Wheeler Ltd,PO Box 7200+City+CA,1083
EW Scripps Company,PO Box 9725+City+CA,1971
Motorola Inc,PO Box 9657+City+NY,325
MasTec Inc,PO Box 5528+City+TX,1472
KB Home,PO Box 2022+City+MI,1109
Group 1 Automotive Inc,PO Box 7740+City+CO,1024
Hasbro Inc,PO Box 8379+City+VT,487
Federal Express Corp,PO Box 2482+City+CO,668
Golden West Financial Corporation,PO Box 9456+City+NY,465
Hon Industries Inc,PO Box 3197+City+TX,226
Hollywood Entertainment Corp,PO Box 2446+City+CO,44
Mercury General Corporation,PO Box 9772+City+FL,1844
Devon Energy Corporation,PO Box 7421+City+CO,120
GATX Corporation,PO Box 1266+City+MI,761
Michaels Stores Inc,PO Box 4363+City+NY,548
Felcor Lodging Trust Inc,PO Box 8433+City+CA,161
Franklin Resources Inc,PO Box 4584+City+KY,625
Greif Bros Corporation,PO Box 382+City+CT,1336
EW Scripps Company,PO Box 9725+City+CA,1408
E*Trade Group Inc,PO Box 706+City+MO,992
Edison International,PO Box 1042+City+NY,1967
DTE Energy Co,PO Box 8550+City+KY,1812
Dole Food Company Inc,PO Box 3975+City+KY,1811
Marsh & McLennan Companies Inc,PO Box 3298+City+CO,1448
Kroger Co,PO Box 3933+City+GA,386
Gap Inc,PO Box 3353+City+FL,171
International Flavors & Fragrances Inc,PO Box 8774+City+MI,1205
Merrill Lynch & Co Inc,PO Box 6237+City+TX,1466
Golden West Financial Corporation,PO Box 1095+City+MO,592
General Dynamics Corporation,PO Box 479+City+FL,1809
FleetBoston Financial Co,PO Box 6557+City+CA,1221
Gillette Company,PO Box 1978+City+FL,251
Ecolab Inc,PO Box 9736+City+MI,1618
Landstar System Inc,PO Box 9480+City+CO,1001
Exide Technologies,PO Box 6718+City+CT,347
Marsh & McLennan Companies Inc,PO Box 3298+City+CO,1849
Lennar Corporation,PO Box 6695+City+MO,718
Kroger Co,PO Box 3933+City+GA,1052
Nabors Industries Inc,PO Box 3733+City+CA,453
EOG Resources Inc,PO Box 7839+City+GA,1960
International Business Machines Corp,PO Box 706+City+CO,18
Exide Technologies,PO Box 6718+City+CT,1365
Lear Corporation,PO Box 6083+City+MO,878
MPS Group Inc,PO Box 8185+City+WA,693
DIMON Incorporated,PO Box 7192+City+GA,1702
Ferro Corp,PO Box 6564+City+WA,1692
Hilton Hotels Corp,PO Box 5980+City+KY,1413
Magellan Health Services Inc,PO Box 8680+City+MO,1229
Micron Technology Inc,PO Box 6440+City+NY,1358
Eastman Chemical Company,PO Box 9383+City+CO,1392
MetLife Inc,PO Box 9081+City+GA,960
Landstar System Inc,PO Box 627+City+MI,1834
IMS Health Inc,PO Box 3638+City+CA,1234
General Cable Corporation,PO Box 6575+City+CO,1512
KeyCorp,PO Box 8287+City+KY,1335
Marriott International Inc,PO Box 5101+City+FL,1996
The May Department Stores Company,PO Box 3767+City+MI,80
Lands End Inc,PO Box 3758+City+NY,1547
Kerr-McGee Corporation,PO Box 4191+City+WA,871
Manor Care Inc,PO Box 6101+City+KY PO,1423
The Lubrizol Corporation,PO Box 8137+City+MO,1717
KeySpan Corp,PO Box 4067+City+NY,419
Honeywell International Inc, PO Box 7915+City+CA,1122
Mohawk Industries Inc,PO Box 8735+City+TX,1643
Metaldyne Corporation,PO Box 9525+City+WA,1748
Lear Corporation,PO Box 5719+City+CO,1872
Mandalay Resort Group,PO Box 8899+City+GA,1540
First Data Corp,PO Box 6765+City+FL,67
Humana Inc,PO Box 6144+City+NY,1938
KB Home,PO Box 4456+City+KY,310
Goodrich Corporation,PO Box 7569+City+KY,1575
Di Giorgio Corporation,PO Box 3212+City+CT,426
Dillards Inc,PO Box 3826+City+WA,460
M & T Bank Corporation,PO Box 3978+City+MO,804
DynCorp,PO Box 8835+City+GA,1714
Hillenbrand Industries Inc,PO Box 2693+City+KY,1416
El Paso Corporation,PO Box 5390+City+MI,1282
Dell Computer Corporation,PO Box 2975+City+FL,1877
Jefferson-Pilot Co,PO Box 3053+City+WA,195
Georgia-Pacific Corporation,PO Box 8285+City+MI,1867
International Flavors & Fragrances Inc,PO Box 981+City+KY,1578
Halliburton Co,PO Box 3841+City+KY,989
Limited Inc,PO Box 7789+City+WA,244
Granite Construction Incorporated,PO Box 7575+City+FL,251
Hercules Inc,PO Box 2147+City+CA,356
HB Fuller Company,PO Box 2282+City+GA,1050
Gateway Inc,PO Box 8003+City+MO,279
Foster Wheeler Ltd,PO Box 3080+City+WA,93
Illinois Tool Works Inc,PO Box 1255+City+MO,384
The McGraw-Hill Companies Inc,PO Box 7799+City+WA,1198
Ivax Corp,PO Box 5280+City+VT,558
Fidelity National Financial Inc,PO Box 2870+City+VT,1585
Kellwood Company, PO Box 6745+City+CT,967
Delphi Corp,PO Box 1958+City+CA,1748
Hilton Hotels Corp,PO Box 2571+City+WA,376
Jefferson-Pilot Co, PO Box 8030+City+FL,1400
Freeport McMoran Copper & Gold Inc,PO Box 9606+City+KY,1655
Eaton Corporation,PO Box 5955+City+VT,454
Di Giorgio Corporation,PO Box 3855+City+FL,242
Jones Apparel Group Inc,PO Box 2109+City+MI,1457
Dow Jones & Company Inc,PO Box 4947+City+MO,879
McLeodUSA Incorporated,PO Box 2428+City+FL,1480
Dreyers Grand Ice Cream Inc,PO Box 5389+City+CO,178
McCormick & Company Incorporated,PO Box 7170+City+KY,1826
DynCorp,PO Box 8835+City+GA,1664
Intuit Inc,PO Box 8536+City+KY,1165
Kohls Corp,PO Box 7368+City+MI,337
Franklin Resources Inc,PO Box 3276+City+KY,1356
Intuit Inc,PO Box 8536+City+KY,569
Kerr-McGee Corporation,PO Box 4191+City+WA,320
E*Trade Group Inc,PO Box 706+City+MO,1619
Fidelity National Financial Inc,PO Box 4771+City+MI,1141
Foamex International Inc,PO Box 2577+City+MO,698
Mariner Health Care Inc,PO Box 7947+City+TX,1057
Gannett Co Inc,PO Box 7293+City+GA,1647
Lear Corporation,PO Box 103+City+GA,1607
Legg Mason Inc,PO Box 2675+City+MO,967
KeyCorp,PO Box 8287+City+KY,1878
Merrill Lynch & Co Inc,PO Box 1879+City+NY,1961
Maytag Corporation,PO Box 6180+City+VT,1688
Jacobs Engineering Group Inc,PO Box 3053+City+CT,871
Hercules Inc,PO Box 2147+City+CA,1713
Hilton Hotels Corp,PO Box 5980+City+KY,219
Equitable Resources Inc,PO Box 1645+City+VT,1126
The Goodyear Tire & Rubber Company,PO Box 8578+City+WA,1323
MDU Resources Group Inc,PO Box 3928+City+MO,88
Genesis Health Ventures Inc,PO Box 1561+City+MI,449
Earthlink Inc,PO Box 2974+City+GA,776
Dial Corporation,PO Box 4873+City+GA,1307
Longs Drug Stores Corporation,PO Box 9130+City+MI,15
Harman International Industries Inc,PO Box 4430+City+TX,843
Engelhard Corporation,PO Box 1112+City+MO,1231
Exide Technologies,PO Box 9931+City+CO,1301
Fortune Brands Inc,PO Box 9914+City+FL,41
Hilton Hotels Corp,PO Box 5980+City+KY,280
Hasbro Inc,PO Box 6898+City+VT,1078
DQE Inc,PO Box 2520+City+WA,1591
FleetBoston Financial Co,PO Box 4431+City+CO,1524
Murphy Oil Corporation,PO Box 2446+City+WA,1075
KeyCorp,PO Box 8287+City+KY,1372
IMS Health Inc,PO Box 3638+City+CA,643
Energy East Corporation,PO Box 8227+City+FL,88
First Tennessee National Corp,PO Box 5192+City+FL,489
JB Hunt Transport Services Inc,PO Box 5532+City+WA,717
Level 3 Communications Inc,PO Box 9353+City+FL,1283
Jefferson-Pilot Co,PO Box 2050+City+MO,1359
Kimball International Inc,PO Box 8193+City+CT,156
LSI Logic Corporation,PO Box 4048+City+KY,196
Ivax Corp,PO Box 4668+City+VT,1125
Dover Corporation Inc,PO Box 5452+City+WA,716
Golden State Bancorp Inc,PO Box 4281+City+FL,581
Idacorp Inc,PO Box 1708+City+GA,223
Gateway Inc,PO Box 5438+City+CA,336
EGL Inc,PO Box 8351+City+MO,1814
Goodrich Corporation,PO Box 7639+City+CA,694
JP Morgan Chase & Co,PO Box 6301+City+KY,464
L-3 Communications Holdings Inc,PO Box 4805+City+MI,707
Lexmark International Inc,PO Box 4119+City+WA,1644
Kelly Services Inc,PO Box 2737+City+WA,1771
Ford Motor Co,PO Box 1243+City+GA,1786
Hilton Hotels Corp,PO Box 2571+City+WA,1351
JC Penny Co,PO Box 1694+City+GA,233
Johnson Controls Inc,PO Box 1306+City+TX,1285
L-3 Communications Holdings Inc,PO Box 4805+City+MI,1304
Interpublic Group of Companies Inc,PO Box 1172+City+CA,1569
Illinois Tool Works Inc,PO Box 4307+City+MO,372
Illinois Tool Works Inc,PO Box 4307+City+MO,1499
FPL Group Inc,PO Box 3716+City+CA,883
The LTV Corporation,PO Box 2149+City+MO,1319
Federated Department Stores Inc,PO Box 9064+City+GA,123
Federated Department Stores Inc,PO Box 9064+City+GA,1332
Encompass Services Corporation,PO Box 8480+City+MO,1913
Massey Energy Company,PO Box 1907+City+CO,847
Level 3 Communications Inc,PO Box 9353+City+FL,1389
K-Mart Corp,PO Box 2663+City+KY,252
